date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:34:25	131/131	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202022%2023:34:25%20GMT	https://blacket.org/robots.txt		(from )
19:34:26	1085436/1085436	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Mar%202022%2023:34:26%20GMT	https://blacket.org/	C:/My%20Web%20Sites/yyggy/blacket.org/index.html	(from )
19:34:26	4286/4286	---MCZ	200	added ('OK')	image/x-icon	etag:W/%22621a804c-10be%22	https://blacket.org/favicon.ico	C:/My%20Web%20Sites/yyggy/blacket.org/favicon.ico	(from https://blacket.org/)
19:34:26	204266/204266	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2283bd746ca8d3662eff35009bab490c46%22	https://ka-f.fontawesome.com/releases/v5.14.0/webfonts/free-fa-solid-900.eot	C:/My%20Web%20Sites/yyggy/ka-f.fontawesome.com/releases/v5.14.0/webfonts/free-fa-solid-900.eot	(from https://blacket.org/)
19:34:26	204266/204266	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2283bd746ca8d3662eff35009bab490c46%22	https://ka-f.fontawesome.com/releases/v5.14.0/webfonts/free-fa-solid-900.eot?	C:/My%20Web%20Sites/yyggy/ka-f.fontawesome.com/releases/v5.14.0/webfonts/free-fa-solid-900d41d.eot	(from https://blacket.org/)
19:34:27	134622/134622	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22754ab8ff81f2458ed637f584cec12453%22	https://ka-f.fontawesome.com/releases/v5.14.0/webfonts/free-fa-brands-400.eot	C:/My%20Web%20Sites/yyggy/ka-f.fontawesome.com/releases/v5.14.0/webfonts/free-fa-brands-400.eot	(from https://blacket.org/)
19:34:27	134622/134622	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22754ab8ff81f2458ed637f584cec12453%22	https://ka-f.fontawesome.com/releases/v5.14.0/webfonts/free-fa-brands-400.eot?	C:/My%20Web%20Sites/yyggy/ka-f.fontawesome.com/releases/v5.14.0/webfonts/free-fa-brands-400d41d.eot	(from https://blacket.org/)
19:34:27	34350/34350	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22fe11ba4db5ae00642aa0376a98280f1e%22	https://ka-f.fontawesome.com/releases/v5.14.0/webfonts/free-fa-regular-400.eot	C:/My%20Web%20Sites/yyggy/ka-f.fontawesome.com/releases/v5.14.0/webfonts/free-fa-regular-400.eot	(from https://blacket.org/)
19:34:27	34350/34350	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22fe11ba4db5ae00642aa0376a98280f1e%22	https://ka-f.fontawesome.com/releases/v5.14.0/webfonts/free-fa-regular-400.eot?	C:/My%20Web%20Sites/yyggy/ka-f.fontawesome.com/releases/v5.14.0/webfonts/free-fa-regular-400d41d.eot	(from https://blacket.org/)
19:34:28	15718/15718	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%224b2f13da974b807990b16fbd678a70e1%22	https://ka-f.fontawesome.com/releases/v5.14.0/webfonts/free-fa-v4deprecations.eot	C:/My%20Web%20Sites/yyggy/ka-f.fontawesome.com/releases/v5.14.0/webfonts/free-fa-v4deprecations.eot	(from https://blacket.org/)
